@relation german_credit-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
0<=X<200,0.058824,'existing paid',furniture/equipment,0.054308,<100,1<=X<4,0.666667,'female div/dep/mar',none,1,'real estate',0.089286,none,own,0,skilled,0,none,yes,bad
0<=X<200,0.073529,'existing paid','new car',0.001431,<100,1<=X<4,1,'male mar/wid',none,1,'real estate',0.053571,none,rent,0,'unskilled resident',0,none,yes,good
0<=X<200,0.647059,'existing paid',other,0.282326,'no known savings',unemployed,0.666667,'male single',none,1,'no known property',0.375,bank,'for free',0,'unemp/unskilled non res',0,yes,yes,good
'no checking',0.294118,'existing paid',furniture/equipment,0.289479,100<=X<500,1<=X<4,1,'male single',none,0,car,0.107143,stores,own,0,skilled,0,none,yes,good
>=200,0.294118,'existing paid',furniture/equipment,0.192528,<100,<1,0.333333,'female div/dep/mar',none,1,car,0.125,none,own,0,skilled,0,none,yes,good
0<=X<200,0.117647,'existing paid','new car',0.023935,<100,4<=X<7,0.333333,'male mar/wid',none,0.666667,car,0.107143,bank,own,0,'unskilled resident',0,none,yes,bad
>=200,0,'existing paid','new car',0.068449,'no known savings',<1,0,'male single',none,0.333333,'real estate',0.178571,none,own,0,'unskilled resident',1,none,no,good
<0,0.470588,'all paid',furniture/equipment,0.137339,<100,>=7,1,'male single',none,1,car,0.214286,bank,own,0,skilled,0,none,yes,bad
<0,0.117647,'existing paid',furniture/equipment,0.025201,<100,1<=X<4,0.333333,'male single',guarantor,0.666667,'life insurance',0.339286,none,own,0,'unskilled resident',1,none,yes,good
0<=X<200,0.294118,'existing paid',furniture/equipment,0.225652,'no known savings',1<=X<4,0,'female div/dep/mar',none,1,'life insurance',0.517857,none,own,0,'unskilled resident',0,yes,yes,good
'no checking',0.117647,'critical/other existing credit',education,0.024816,<100,1<=X<4,1,'male single',none,0.333333,car,0.232143,none,own,0.333333,skilled,0,none,yes,good
<0,0.161765,'delayed previously',furniture/equipment,0.186695,<100,>=7,0,'female div/dep/mar',none,1,'life insurance',0.142857,none,own,0.333333,'unskilled resident',0,none,yes,good
0<=X<200,0.382353,'critical/other existing credit','new car',0.22004,<100,unemployed,1,'male mar/wid',none,0.333333,car,0.160714,none,own,0.333333,'high qualif/self emp/mgmt',0,none,yes,bad
<0,0.294118,'existing paid',radio/tv,0.09288,<100,<1,1,'male div/sep',none,0.666667,'life insurance',0.232143,none,own,0,skilled,0,none,yes,bad
<0,0.294118,'existing paid','used car',0.146363,<100,4<=X<7,0.333333,'male single',none,0,'no known property',0.267857,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.205882,'existing paid',furniture/equipment,0.132552,>=1000,1<=X<4,1,'male single',none,0.333333,car,0.160714,none,own,0,skilled,0,none,yes,good
'no checking',0.205882,'critical/other existing credit','new car',0.042808,<100,1<=X<4,1,'female div/dep/mar',none,0.666667,'real estate',0.303571,none,own,0.333333,skilled,0,none,yes,good
<0,0.058824,'critical/other existing credit','new car',0.173214,<100,4<=X<7,0,'male single',none,1,'real estate',0.357143,none,own,0.333333,'unskilled resident',0,none,no,good
'no checking',0.117647,'critical/other existing credit',furniture/equipment,0.305436,'no known savings',>=7,0.333333,'male single',none,1,'life insurance',0.535714,none,rent,0,skilled,0,yes,yes,good
'no checking',0.294118,'existing paid','new car',0.070155,>=1000,4<=X<7,1,'female div/dep/mar',none,0.666667,car,0.267857,none,own,0,skilled,1,yes,yes,good
>=200,0.470588,'existing paid',radio/tv,0.232365,<100,>=7,1,'male single',none,0.333333,car,0.214286,none,own,0,skilled,0,none,yes,good
0<=X<200,0.029412,'existing paid',radio/tv,0.045009,<100,>=7,1,'male single',none,1,car,0.160714,none,own,0,skilled,1,none,yes,good
<0,0.294118,'critical/other existing credit','used car',0.350226,<100,unemployed,0.333333,'male single',none,1,'no known property',1,none,'for free',0.333333,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.205882,'critical/other existing credit',education,0.088808,100<=X<500,1<=X<4,1,'female div/dep/mar',none,0.333333,'real estate',0.196429,none,own,0.333333,skilled,0,none,yes,bad
0<=X<200,0.823529,'existing paid','new car',0.393859,100<=X<500,<1,1,'female div/dep/mar',none,0.333333,'life insurance',0.089286,none,own,0,'high qualif/self emp/mgmt',0,none,yes,bad
'no checking',0.647059,'critical/other existing credit','used car',0.623968,100<=X<500,1<=X<4,0.333333,'female div/dep/mar',none,1,car,0.089286,bank,rent,0.333333,'unskilled resident',0,none,yes,bad
<0,0.294118,'no credits/all paid',furniture/equipment,0.212391,<100,>=7,0.666667,'male single',none,1,'no known property',0.071429,bank,rent,0.333333,skilled,1,none,yes,bad
<0,0.029412,'critical/other existing credit',furniture/equipment,0.172444,<100,1<=X<4,0,'male div/sep',none,1,'real estate',0.446429,none,rent,0,'high qualif/self emp/mgmt',0,yes,yes,bad
0<=X<200,0.132353,'existing paid',radio/tv,0.101849,<100,<1,0.333333,'female div/dep/mar',guarantor,1,'life insurance',0.071429,none,own,0,'unskilled resident',0,none,yes,good
<0,0.161765,'existing paid','domestic appliance',0.056399,'no known savings',1<=X<4,1,'female div/dep/mar',none,0.333333,car,0.089286,none,rent,0,skilled,0,none,yes,bad
<0,0.294118,'existing paid',furniture/equipment,0.215638,<100,1<=X<4,1,'male single',none,1,'life insurance',0.160714,none,own,0,skilled,0,none,yes,good
0<=X<200,0.088235,'existing paid',furniture/equipment,0.069935,<100,1<=X<4,1,'male div/sep',none,0.333333,car,0.214286,none,own,0,'unskilled resident',0,none,yes,good
0<=X<200,0.294118,'critical/other existing credit',education,0.302245,<100,<1,0.333333,'female div/dep/mar',none,1,'no known property',0.089286,none,'for free',0.333333,skilled,0,yes,yes,good
<0,0.25,'existing paid',furniture/equipment,0.184274,<100,4<=X<7,0,'female div/dep/mar',none,1,car,0.125,none,rent,0,'unskilled resident',0,none,yes,good
0<=X<200,0.205882,'existing paid',radio/tv,0.163035,500<=X<1000,<1,0,'male mar/wid',none,0.666667,'real estate',0.107143,none,rent,0,skilled,0,none,yes,good
0<=X<200,0.205882,'existing paid',business,0.230494,<100,>=7,0,'male single','co applicant',0,'real estate',0.25,bank,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
>=200,0.088235,'existing paid','new car',0.203533,<100,<1,0,'male single',guarantor,0,'life insurance',0.321429,none,own,0,'unskilled resident',1,none,yes,good
'no checking',0.161765,'critical/other existing credit',radio/tv,0.066524,<100,1<=X<4,1,'female div/dep/mar',none,0.333333,car,0.428571,none,own,0,'unskilled resident',0,none,yes,good
0<=X<200,0.132353,'critical/other existing credit',radio/tv,0.034775,<100,<1,1,'male single',guarantor,1,'real estate',0.071429,none,own,0.333333,skilled,0,none,yes,good
0<=X<200,0.294118,'existing paid',radio/tv,0.193023,500<=X<1000,unemployed,0,'female div/dep/mar',none,1,'no known property',0.071429,none,rent,0,'unemp/unskilled non res',0,none,yes,good
'no checking',0.029412,'delayed previously',business,0.08215,100<=X<500,1<=X<4,0,'male single',none,0.333333,'real estate',0.267857,none,own,0.333333,'unskilled resident',0,none,yes,good
0<=X<200,0.073529,'critical/other existing credit',education,0.048751,>=1000,>=7,1,'male single',none,0.666667,'no known property',0.232143,none,'for free',0.333333,skilled,1,none,yes,bad
'no checking',0.073529,'existing paid','domestic appliance',0.054253,<100,<1,0,'female div/dep/mar',none,1,'real estate',0.071429,none,rent,0,skilled,0,yes,yes,good
0<=X<200,0.073529,'existing paid',furniture/equipment,0.039012,<100,1<=X<4,0,'female div/dep/mar',none,0.333333,car,0.178571,none,own,0,skilled,0,none,no,bad
'no checking',0.205882,'critical/other existing credit','used car',0.163915,'no known savings',unemployed,0.333333,'male single',none,1,'no known property',0.339286,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.117647,'no credits/all paid',radio/tv,0.327336,<100,1<=X<4,1,'male single',none,0.333333,'life insurance',0.160714,none,rent,0.333333,skilled,0,yes,yes,bad
'no checking',0.088235,'existing paid',education,0.026246,500<=X<1000,>=7,1,'male single',none,1,'no known property',0.482143,none,'for free',0,skilled,0,yes,yes,good
0<=X<200,0.294118,'existing paid','new car',0.054804,<100,<1,1,'male single',none,0.333333,'real estate',0.071429,stores,own,0,'unskilled resident',0,none,yes,bad
'no checking',0.117647,'critical/other existing credit',radio/tv,0.114504,'no known savings',>=7,0,'male single','co applicant',1,'real estate',0.535714,none,own,0,skilled,0,yes,yes,good
'no checking',0.470588,'delayed previously',radio/tv,0.231815,<100,1<=X<4,1,'male single',none,0.333333,car,0.125,none,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.117647,'existing paid',radio/tv,0.028942,<100,1<=X<4,1,'male mar/wid',none,0.333333,'real estate',0.160714,none,own,0,skilled,0,none,yes,good
<0,0.382353,'existing paid',furniture/equipment,0.118631,<100,4<=X<7,1,'female div/dep/mar',none,1,'real estate',0.071429,none,rent,0,skilled,0,none,yes,bad
0<=X<200,0.205882,'existing paid',education,0.054418,'no known savings',1<=X<4,1,'male single',none,1,'no known property',0.75,none,'for free',0,skilled,0,none,yes,good
>=200,0.117647,'existing paid',radio/tv,0.17327,'no known savings',>=7,0.333333,'male single',none,0.666667,car,0.321429,none,own,0,'high qualif/self emp/mgmt',0,none,yes,good
>=200,0.117647,'delayed previously','new car',0.109882,<100,1<=X<4,0.333333,'female div/dep/mar',none,0.333333,car,0.303571,stores,own,0.333333,skilled,0,yes,yes,good
'no checking',0.029412,'existing paid',furniture/equipment,0.083416,<100,1<=X<4,0,'male mar/wid',none,0.333333,'life insurance',0.035714,none,rent,0,skilled,0,none,yes,good
<0,0.205882,'existing paid',furniture/equipment,0.122318,<100,unemployed,1,'male single',none,0,car,0.107143,none,own,0,'unemp/unskilled non res',0,none,yes,bad
'no checking',0.117647,'existing paid',business,0.071091,<100,4<=X<7,0.333333,'male single',none,1,car,0.303571,none,own,0,skilled,0,yes,yes,good
'no checking',0.205882,'critical/other existing credit','used car',0.198085,<100,4<=X<7,0.666667,'male single',none,0,car,0.142857,none,own,0.333333,skilled,0,none,yes,good
<0,0.205882,'existing paid',furniture/equipment,0.18708,<100,<1,0,'female div/dep/mar',none,1,car,0.053571,none,rent,0,skilled,0,none,yes,good
<0,0.470588,'existing paid',furniture/equipment,0.175856,<100,>=7,1,'male single',none,0.333333,car,0.410714,none,own,0,skilled,1,none,yes,bad
0<=X<200,0.205882,'existing paid',furniture/equipment,0.15137,<100,4<=X<7,0.333333,'female div/dep/mar',none,1,'real estate',0.375,none,rent,0,skilled,0,none,yes,good
'no checking',0.470588,'existing paid','new car',0.155662,'no known savings',1<=X<4,1,'male single',none,1,'real estate',0.303571,none,own,0,skilled,0,none,yes,good
'no checking',0.205882,'critical/other existing credit',radio/tv,0.320238,<100,>=7,0.666667,'male single',none,1,car,0.25,none,own,0.333333,skilled,0,yes,yes,good
'no checking',0.088235,'critical/other existing credit',furniture/equipment,0.104325,<100,<1,0,'female div/dep/mar',none,0.666667,'real estate',0.071429,none,rent,0.333333,skilled,0,none,yes,good
'no checking',0.823529,'critical/other existing credit','new car',0.74315,'no known savings',>=7,0.333333,'male single',none,1,'no known property',0.785714,bank,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,good
0<=X<200,0.823529,'all paid',other,0.799604,100<=X<500,>=7,0.666667,'female div/dep/mar',none,1,'no known property',0.732143,bank,'for free',0.333333,'high qualif/self emp/mgmt',0,yes,yes,bad
<0,0.647059,'all paid',business,0.409101,<100,4<=X<7,0.333333,'female div/dep/mar',guarantor,1,car,0.321429,none,rent,0,skilled,0,none,yes,bad
'no checking',0.205882,'delayed previously',radio/tv,0.113899,<100,unemployed,0.333333,'male mar/wid',none,0.666667,'real estate',0.267857,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.044118,'delayed previously',radio/tv,0.032794,'no known savings',>=7,0.666667,'male single',none,1,'no known property',0.303571,none,'for free',0,skilled,0,none,yes,good
0<=X<200,0.470588,'existing paid','new car',0.774073,<100,>=7,1,'male single',none,0.333333,'no known property',0.678571,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.029412,'critical/other existing credit','new car',0.006163,100<=X<500,1<=X<4,1,'female div/dep/mar',none,1,car,0.589286,none,own,0.333333,'unskilled resident',0,none,yes,good
<0,0.235294,'existing paid',furniture/equipment,0.107956,'no known savings',4<=X<7,1,'male single',none,1,car,0.357143,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.205882,'existing paid','used car',0.700231,<100,unemployed,0.666667,'female div/dep/mar',none,1,'no known property',0.339286,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.264706,'existing paid','new car',0.056839,'no known savings',4<=X<7,1,'female div/dep/mar',none,1,'life insurance',0.107143,none,rent,0,skilled,0,none,yes,good
>=200,0.117647,'existing paid','new car',0.059426,<100,<1,1,'male single',none,0,'real estate',0.125,none,own,0,skilled,0,none,yes,good
'no checking',0.382353,'delayed previously',business,0.221305,100<=X<500,1<=X<4,0.333333,'male single',none,0.333333,'life insurance',0.125,none,own,0.333333,'unskilled resident',0,none,yes,good
'no checking',0.205882,'critical/other existing credit',radio/tv,0.109387,<100,1<=X<4,0.333333,'female div/dep/mar',none,0,car,0.107143,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.205882,'existing paid',radio/tv,0.048201,'no known savings',<1,1,'female div/dep/mar',none,0.333333,'real estate',0.035714,none,rent,0,skilled,0,yes,yes,good
0<=X<200,0.205882,'critical/other existing credit',furniture/equipment,0.391989,<100,unemployed,1,'male single',none,1,'life insurance',0.375,stores,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,good
0<=X<200,0.161765,'critical/other existing credit',business,0.114229,500<=X<1000,1<=X<4,0.333333,'male single',none,1,car,0.142857,bank,own,0,skilled,0,none,yes,good
'no checking',0.073529,'existing paid',business,0.065973,<100,4<=X<7,0.666667,'female div/dep/mar',none,0.333333,car,0.142857,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.205882,'existing paid','new car',0.086387,<100,1<=X<4,0.333333,'male mar/wid',none,0.333333,'life insurance',0.196429,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
0<=X<200,0.117647,'existing paid',furniture/equipment,0.040332,>=1000,<1,0,'female div/dep/mar',none,1,'real estate',0,none,rent,0,'unskilled resident',0,none,yes,good
<0,0.470588,'existing paid','new car',0.165016,<100,4<=X<7,0.333333,'male single',none,1,'no known property',0.357143,bank,'for free',0,'high qualif/self emp/mgmt',1,yes,yes,good
<0,0.029412,'critical/other existing credit',radio/tv,0.093925,<100,4<=X<7,0,'female div/dep/mar',none,1,car,0.214286,none,own,0,skilled,0,none,yes,good
'no checking',0.073529,'critical/other existing credit',furniture/equipment,0.118631,<100,unemployed,0.333333,'male single',none,0.666667,car,0.214286,none,own,0,'high qualif/self emp/mgmt',0,none,yes,good
0<=X<200,0.514706,'delayed previously',education,0.633322,100<=X<500,4<=X<7,0.333333,'male single',none,0.666667,'no known property',0.232143,none,rent,0,skilled,0,yes,yes,good
<0,0.117647,'existing paid',furniture/equipment,0.128095,<100,unemployed,0.666667,'female div/dep/mar',none,1,'no known property',0.642857,none,'for free',0,'high qualif/self emp/mgmt',0,none,yes,good
<0,0.470588,'critical/other existing credit',furniture/equipment,0.11544,<100,1<=X<4,0.666667,'male mar/wid',none,0.333333,'life insurance',0.482143,none,own,0.333333,skilled,0,yes,yes,good
0<=X<200,0.117647,'existing paid','new car',0.053538,<100,>=7,0,'male div/sep',none,0,'real estate',0.482143,none,rent,0.333333,skilled,0,none,yes,bad
'no checking',0.294118,'critical/other existing credit',radio/tv,0.06966,>=1000,1<=X<4,1,'female div/dep/mar',none,0,'real estate',0.428571,none,own,0.333333,'unskilled resident',0,none,yes,good
'no checking',0.205882,'existing paid',radio/tv,0.067294,<100,<1,0.666667,'male mar/wid',none,1,'real estate',0.357143,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.205882,'critical/other existing credit',business,0.090074,'no known savings',1<=X<4,1,'male mar/wid',none,1,'real estate',0.160714,bank,own,0.333333,skilled,0,none,yes,good
'no checking',0.294118,'delayed previously',business,0.462089,<100,<1,0.333333,'male single',none,0.333333,car,0.142857,bank,own,0.333333,skilled,0,yes,yes,bad
'no checking',0.147059,'delayed previously','new car',0.030373,<100,1<=X<4,1,'male single',none,0.333333,car,0.142857,none,own,0.333333,'unskilled resident',0,none,yes,good
0<=X<200,0.205882,'delayed previously','new car',0.145758,'no known savings',>=7,1,'male single',none,1,car,0.428571,none,own,0,skilled,1,none,yes,good
0<=X<200,0.294118,'existing paid',radio/tv,0.098437,<100,<1,0,'male mar/wid',none,0,'life insurance',0.053571,none,own,0,skilled,0,yes,yes,bad
'no checking',0.294118,'critical/other existing credit','used car',0.107131,'no known savings',4<=X<7,1,'male single',none,1,car,0.428571,none,own,0.333333,skilled,1,yes,yes,good
<0,0.161765,'existing paid',radio/tv,0.044184,<100,<1,1,'male mar/wid',none,0.333333,'real estate',0.142857,none,own,0,skilled,0,none,no,good
'no checking',0.294118,'existing paid',radio/tv,0.164246,500<=X<1000,>=7,0.666667,'male div/sep',none,0.333333,car,0.125,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
>=200,0.117647,'critical/other existing credit','new car',0.037911,500<=X<1000,4<=X<7,1,'male mar/wid',none,0.333333,'real estate',0.160714,none,own,0.666667,skilled,0,yes,yes,bad
0<=X<200,0.294118,'existing paid',radio/tv,0.094476,<100,>=7,1,'female div/dep/mar',none,1,car,0.017857,none,own,0,skilled,0,yes,yes,good
'no checking',0.426471,'critical/other existing credit','used car',0.385331,<100,4<=X<7,0.666667,'male single',none,0.333333,car,0.285714,none,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.117647,'critical/other existing credit',business,0.112358,<100,unemployed,1,'male single',none,0.333333,car,0.410714,stores,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.088235,'existing paid','new car',0.074117,500<=X<1000,1<=X<4,0.666667,'male single',none,0.333333,'no known property',0.375,none,rent,0,'unskilled resident',1,none,no,good
<0,0.294118,'existing paid','new car',0.062232,'no known savings',1<=X<4,1,'female div/dep/mar',none,0.333333,'life insurance',0.285714,none,own,0,skilled,0,none,yes,bad
'no checking',0.470588,'critical/other existing credit','used car',0.307692,<100,>=7,0.333333,'male single',none,0.333333,'life insurance',0.285714,none,own,0.333333,skilled,1,yes,yes,good
<0,0.117647,'existing paid','new car',0.12815,<100,<1,1,'male single',none,0,'real estate',0.25,none,own,0,'unskilled resident',1,none,yes,bad
<0,0.205882,'delayed previously',education,0.45235,'no known savings',1<=X<4,0,'female div/dep/mar',none,0.333333,car,0.071429,none,rent,0.333333,skilled,0,yes,yes,good
'no checking',0.25,'existing paid','new car',0.13932,500<=X<1000,4<=X<7,0,'female div/dep/mar',none,0.333333,car,0.214286,bank,own,0,'high qualif/self emp/mgmt',0,none,yes,good
0<=X<200,0.205882,'existing paid','new car',0.043579,'no known savings',1<=X<4,1,'female div/dep/mar',none,0.333333,'life insurance',0.25,none,own,0,skilled,0,none,yes,bad
'no checking',0.161765,'existing paid','new car',0.161549,>=1000,4<=X<7,0.333333,'female div/dep/mar',none,0.666667,car,0.017857,none,rent,0,skilled,0,none,yes,good
0<=X<200,0.117647,'existing paid','used car',0.097832,'no known savings',1<=X<4,1,'male single',none,0.333333,car,0.196429,none,own,0,skilled,0,none,yes,good
0<=X<200,0.117647,'critical/other existing credit','new car',0.038957,<100,4<=X<7,0.333333,'male single',none,0.666667,'real estate',0.5,none,own,0.333333,'unskilled resident',1,none,yes,good
'no checking',0.25,'delayed previously',furniture/equipment,0.073787,100<=X<500,4<=X<7,1,'male single',none,0.666667,'real estate',0.267857,none,own,0.333333,'high qualif/self emp/mgmt',0,none,yes,good
0<=X<200,0.117647,'existing paid',furniture/equipment,0.138219,'no known savings',>=7,0,'female div/dep/mar',none,0.333333,'life insurance',0.107143,bank,own,0,skilled,0,yes,yes,bad
0<=X<200,0.205882,'existing paid','used car',0.139155,<100,1<=X<4,0,'male mar/wid',none,0.666667,car,0.035714,none,rent,0,skilled,0,yes,yes,good
'no checking',0.352941,'critical/other existing credit',radio/tv,0.137174,<100,>=7,1,'male single',none,0.333333,car,0.178571,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.205882,'critical/other existing credit',radio/tv,0.049466,>=1000,1<=X<4,1,'male single',none,0.666667,'real estate',0.482143,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.073529,'existing paid',furniture/equipment,0.05849,<100,>=7,0,'male single',none,1,car,0.017857,none,own,0,skilled,0,none,yes,good
<0,0.205882,'critical/other existing credit',repairs,0.051722,<100,unemployed,0.333333,'female div/dep/mar',none,1,'no known property',0.642857,none,'for free',0.666667,'unemp/unskilled non res',1,none,yes,bad
'no checking',0.014706,'existing paid',business,0.175966,<100,4<=X<7,0,'male single',none,1,'real estate',0.982143,none,own,0,'unskilled resident',0,none,yes,good
0<=X<200,0.294118,'existing paid',other,0.609552,<100,1<=X<4,0.333333,'male single','co applicant',0.666667,car,0.178571,bank,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,bad
<0,0.029412,'critical/other existing credit',furniture/equipment,0.089248,<100,unemployed,1,'male single',none,1,'no known property',0.303571,none,'for free',0.666667,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.294118,'critical/other existing credit',repairs,0.099483,<100,1<=X<4,1,'male div/sep',none,0.333333,'real estate',0.25,none,own,0.333333,skilled,0,yes,yes,good
<0,0.073529,'existing paid',furniture/equipment,0.103775,<100,1<=X<4,0.666667,'male single',none,0.333333,'real estate',0.107143,none,own,0,skilled,0,none,yes,good
0<=X<200,0.117647,'existing paid',radio/tv,0.067899,'no known savings',1<=X<4,0.333333,'male mar/wid',none,0,'real estate',0.107143,none,own,0,skilled,0,yes,yes,bad
'no checking',0.029412,'existing paid',repairs,0.02256,500<=X<1000,4<=X<7,0.333333,'male mar/wid',none,1,'real estate',0.071429,none,rent,0,'unskilled resident',0,none,yes,good
'no checking',0.294118,'critical/other existing credit','new car',0.05706,>=1000,>=7,1,'female div/dep/mar',none,1,'real estate',0.321429,none,own,0.333333,skilled,0,yes,yes,good
<0,0.558824,'critical/other existing credit',repairs,0.172994,<100,unemployed,1,'male single','co applicant',1,car,0.821429,none,own,0.333333,'unemp/unskilled non res',0,none,yes,good
>=200,0.117647,'all paid',business,0.019753,<100,<1,1,'female div/dep/mar',none,0,'real estate',0.125,none,own,0,'unemp/unskilled non res',0,none,yes,bad
'no checking',0.117647,'existing paid','new car',0.089909,<100,>=7,1,'male single',none,1,car,0.357143,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.117647,'existing paid',furniture/equipment,0.075382,<100,1<=X<4,0.333333,'female div/dep/mar','co applicant',0.666667,'life insurance',0.196429,none,own,0,skilled,0,none,yes,good
0<=X<200,0.235294,'delayed previously',other,0.130901,<100,1<=X<4,0.333333,'male single',none,0.666667,car,0.178571,bank,own,0.333333,skilled,0,yes,yes,good
'no checking',0.117647,'existing paid',education,0.025806,<100,>=7,1,'male single',none,1,car,0.392857,bank,own,0,'unskilled resident',1,none,yes,bad
0<=X<200,0.647059,'critical/other existing credit',furniture/equipment,0.266645,<100,1<=X<4,0.333333,'female div/dep/mar',none,0.666667,car,0.196429,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.073529,'critical/other existing credit',education,0.054694,'no known savings',>=7,1,'female div/dep/mar',none,1,'life insurance',0.392857,none,rent,0.333333,'unskilled resident',0,none,yes,good
<0,0.470588,'existing paid','new car',0.087598,<100,<1,1,'female div/dep/mar',none,1,car,0.267857,none,own,0,skilled,0,yes,yes,bad
0<=X<200,0.044118,'existing paid',radio/tv,0.127985,<100,1<=X<4,0.333333,'male single',guarantor,0.333333,'real estate',0.285714,none,own,0,skilled,0,none,yes,good
>=200,0.117647,'existing paid',furniture/equipment,0.064598,'no known savings',>=7,0.666667,'female div/dep/mar',none,1,'real estate',0.642857,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
0<=X<200,0.161765,'delayed previously',repairs,0.06944,>=1000,1<=X<4,0.666667,'male mar/wid',none,0.666667,'life insurance',0.75,stores,own,0.333333,skilled,0,none,yes,bad
'no checking',0.470588,'critical/other existing credit','used car',0.594476,'no known savings',1<=X<4,1,'male single',none,0.333333,car,0.196429,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.029412,'existing paid',radio/tv,0.014746,<100,1<=X<4,0.666667,'female div/dep/mar',none,0,'real estate',0.178571,none,own,0,skilled,0,none,yes,good
'no checking',0.117647,'no credits/all paid',furniture/equipment,0.138054,<100,>=7,0.333333,'male single',none,1,'life insurance',0.267857,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.294118,'existing paid','used car',0.133157,<100,>=7,1,'male single',none,1,car,0.285714,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.294118,'existing paid','new car',0.251293,<100,4<=X<7,0.333333,'male single','co applicant',0.666667,'life insurance',0.214286,none,own,0,skilled,0,yes,yes,bad
'no checking',0.294118,'existing paid','used car',0.133652,<100,<1,1,'female div/dep/mar',none,0,'no known property',0.178571,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.102941,'critical/other existing credit','new car',0.201111,<100,1<=X<4,0.333333,'male single',none,0.333333,'real estate',0.303571,none,rent,0.333333,skilled,1,none,yes,good
<0,0.117647,'existing paid','used car',0.172554,<100,>=7,0.666667,'male single',none,1,'no known property',0.285714,none,'for free',0,skilled,0,yes,yes,bad
<0,0.029412,'existing paid','domestic appliance',0.005117,<100,<1,1,'female div/dep/mar',none,0,'real estate',0.142857,none,own,0,skilled,0,none,yes,good
'no checking',0.205882,'existing paid',radio/tv,0.239023,<100,<1,0.666667,'male single',none,0.333333,car,0.232143,none,own,0,skilled,0,yes,yes,good
<0,0.470588,'existing paid',furniture/equipment,0.18543,<100,1<=X<4,0,'male single',guarantor,0.333333,'life insurance',0.321429,none,own,0,skilled,1,none,yes,good
<0,0.161765,'existing paid','new car',0.08094,<100,<1,0.333333,'male single',none,0.666667,'real estate',0.303571,none,own,0,skilled,0,none,yes,good
0<=X<200,0.117647,'existing paid',furniture/equipment,0.15225,<100,<1,0.666667,'female div/dep/mar',none,0,'real estate',0.267857,none,rent,0,'high qualif/self emp/mgmt',0,none,yes,good
0<=X<200,0.117647,'existing paid',retraining,0.027732,'no known savings',>=7,1,'male single',none,1,'life insurance',0.339286,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.205882,'existing paid',business,0.09354,<100,4<=X<7,1,'male single',none,0,car,0.267857,stores,own,0.333333,skilled,0,yes,yes,good
